director_din,director_name,din_status,total_directorships,risky_directorships,director_stress_score,director_stress_pct,risk_flag_details,computed_timestamp
11,Amit Nair,active,1,1,10.0,100.0,"[{""L16313BR2010PLC000001"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325647
12,Sunita Rao,active,1,1,10.0,100.0,"[{""L16313BR2010PLC000001"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325727
13,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L16313BR2010PLC000001"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325771
21,Sunita Rao,active,1,1,10.0,100.0,"[{""L74195MZ2010PLC000002"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325810
22,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L74195MZ2010PLC000002"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325845
23,Anita Desai,active,1,1,10.0,100.0,"[{""L74195MZ2010PLC000002"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325878
31,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L11613DN2010PLC000003"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325911
32,Anita Desai,active,1,1,10.0,100.0,"[{""L11613DN2010PLC000003"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325942
33,Vivek Mehta,active,1,1,10.0,100.0,"[{""L11613DN2010PLC000003"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.325972
41,Anita Desai,active,1,1,10.0,100.0,"[{""L99217AP2010PLC000004"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326004
42,Vivek Mehta,active,1,1,10.0,100.0,"[{""L99217AP2010PLC000004"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326034
43,Priya Menon,active,1,1,10.0,100.0,"[{""L99217AP2010PLC000004"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326065
51,Vivek Mehta,active,1,1,10.0,100.0,"[{""L35036MP2010PLC000005"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326096
52,Priya Menon,active,1,1,10.0,100.0,"[{""L35036MP2010PLC000005"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326125
53,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L35036MP2010PLC000005"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326163
61,Priya Menon,active,1,1,10.0,100.0,"[{""L87095OR2010PLC000006"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326196
62,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L87095OR2010PLC000006"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326227
63,Neha Patel,active,1,1,10.0,100.0,"[{""L87095OR2010PLC000006"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326258
71,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L32483NL2010PLC000007"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326289
